Name,Total Occurrences,Books Found In
Behold David,2,"1_kings"
Behold Esau,1,"genesis"
Behold Israel,1,"1_corinthians"
Behold Zebee,1,"judges"
Bel,5,"baruch;daniel;jeremias"
Bela,2,"genesis;numbers"
Benadad,6,"3_kings;4_kings;jeremias"
Bendecar,1,"3_kings"
Benedic,2,"psalms"
Benedict,1,"apocalypse"
Bengaber,1,"3_kings"
Benhur,1,"3_kings"
Benjamin,47,"1_kings;2_kings;3_kings;acts;apocalypse;deuteronomy;exodus;ezechiel;genesis;isaias;jeremias;josue;judges;numbers;psalms;romans"
Benjamites,1,"judges"
Benoni,1,"genesis"
Beon,1,"numbers"
Berea,2,"acts"
Berith,1,"judges"
Bernice,2,"acts"
Berodach Baladan,1,"4_kings"
Bersabee,9,"1_kings;2_kings;3_kings;genesis;judges"
Berzellai,4,"2_kings;3_kings"
Bete,1,"2_kings"
Beten,1,"josue"
Bethacarem,1,"jeremias"
Bethania,1,"john"
Bethanites,1,"judges"
Bethanoth,1,"josue"
Betharan,1,"numbers"
Bethbera,1,"judges"
Bethel,17,"1_kings;3_kings;4_kings;genesis;jeremias;josue;judges"
Bether,1,"canticle_of_canticles"
Bethgamul,1,"jeremias"
Bethhagla,1,"josue"
BethHagla,1,"josue"
Bethhoron,3,"josue"
Bethlehem Juda,4,"1_kings;judges;ruth"
Bethmaacha,1,"2_kings"
Bethphage,2,"luke;matthew"
Bethpheses,1,"josue"
Bethphogor,1,"josue"
Bethsabee,3,"2_kings;3_kings"
Bethsaida,6,"john;luke;mark;matthew"
Bethsamites,1,"1_kings"
Bethsan,1,"josue"
Bethsimoth,1,"josue"
Bethul,1,"josue"
Betonim,1,"josue"
Better,2,"ecclesiasticus;proverbs"
Bind,1,"matthew"
Bithynia,1,"acts"
Blastus,1,"acts"
Blessed,22,"daniel;ecclesiastes;ecclesiasticus;exodus;james;john;luke;mark;matthew;proverbs;psalms;romans"
Blessed Lady,1,"matthew"
Blessed Sacrament,1,"matthew"
Blindness,1,"4_kings"
Boab,1,"genesis"
Bocci,1,"numbers"
Bochri,1,"2_kings"
Boen,2,"josue"
Bonni,1,"2_kings"
Bonum,1,"psalms"
Booz,3,"ruth"
Booz marrieth Ruth,1,"ruth"
Booz of Rahab,1,"matthew"
Borith,1,"jeremias"
Bosom,1,"john"
Bosor,2,"josue"
breaketh friendship,1,"ecclesiasticus"
Brethren,3,"galatians;matthew;philippians"
brethren dwell,1,"deuteronomy"
Brie,1,"numbers"
bringeth death,1,"ecclesiasticus"
bringeth sin,1,"ecclesiasticus"
Bur,1,"2_kings"
bush,6,"acts;deuteronomy;exodus;luke;mark"
Buz,1,"genesis"
c 22,1,"genesis"
Caath,4,"exodus;josue;numbers"
Cades,3,"genesis;josue"
Cadesbarne,4,"deuteronomy;josue;numbers"
Cadumim,1,"judges"
Caesar Augustus,1,"luke"
Caesarea,8,"acts"
Caesarea
Philippi,1,"mark"
Cainan,2,"genesis;luke"
Caiphas,3,"john;luke"
Caleb,3,"josue;judges;numbers"
Call Chusai the Arachite,1,"2_kings"
calleth Elias,1,"matthew"
Camps,1,"genesis"
Cana,3,"john;josue"
Canaan,1,"matthew"
Caph,2,"lamentations"
Capharnaum,9,"john;luke;mark;matthew"
Cappadocia,4,"1_peter;acts;deuteronomy;jeremias"
Cariathaim,3,"ezechiel;jeremias;josue"
Carioth,1,"jeremias"
Carith,1,"3_kings"
Casaloth,1,"josue"
Cast,6,"1_kings;exodus;ezechiel;genesis;proverbs"
Cedar,2,"genesis;jeremias"
Cedron,2,"4_kings;jeremias"
Ceila,2,"1_kings;josue"
Cenez,1,"genesis"
Cephas,6,"1_corinthians;galatians;john"
Cera,1,"judges"
Cesarea Philippi,1,"matthew"
Cetura,2,"exodus;genesis"
Chalanne,1,"genesis"
Chale,1,"genesis"
Chali,1,"josue"
Cham,8,"genesis;psalms"
Chamaam,2,"2_kings;jeremias"
Chamos,2,"jeremias;judges"
Chanaan,1,"genesis"
Chanaanite,10,"3_kings;deuteronomy;genesis;josue;judges;proverbs"
Chanaanites,3,"deuteronomy;judges"
chance medley,1,"numbers"
chastiseth nations,1,"psalms"
Chebbon,1,"josue"
Cheleab,1,"2_kings"
Chelmad,1,"ezechiel"
Chene,1,"ezechiel"
Chobar,4,"ezechiel"
Chodorlahomor,1,"genesis"
Chron,3,"2_kings;exodus"
Chronicles,1,"3_kings"
Chus,1,"genesis"
Chusai,4,"2_kings"
Chusai the Arachite,1,"2_kings"
Chusan Rasathaim,1,"judges"
Cibsaim,1,"josue"
Cidimoth,1,"josue"
Cilicia,7,"acts;galatians"
Cina,1,"josue"
Cinifs,1,"exodus"
Cis,4,"1_kings;2_kings"
Cison,3,"3_kings;judges"
Claudius Lysias,1,"acts"
Clement,1,"philippians"
Cleopatra,1,"daniel"
CleopatraIbid,1,"daniel"
Clouds,1,"psalms"
Coa,1,"3_kings"
Coeli,1,"psalms"
Cohen,1,"2_kings"
Colocynthidas,1,"4_kings"
come,1,"genesis"
comitteth iniquity,1,"ezechiel"
Command Aaron,1,"leviticus"
Command Eleazar,1,"numbers"
Command Josue,1,"deuteronomy"
commandeth Eliseus,1,"4_kings"
committeth adultery,1,"luke"
committeth sin,1,"john"
COMPLETE,1,"apocalypse"
concealeth knowledge,1,"proverbs"
Concubine,1,"judges"
Confitemini Domino,5,"psalms"
Conserva,1,"psalms"
Convert us,3,"lamentations;psalms"
Coph,4,"lamentations"
Corbona,1,"matthew"
corde suo,1,"psalms"
Core,3,"genesis;numbers"
Cornelius,1,"acts"
Cosan,1,"luke"
Counsellor,1,"isaias"
creepeth therein,1,"psalms"
Crete,1,"titus"
Crispus,2,"1_corinthians;acts"
Crow,1,"mark"
Cursed,2,"galatians;jeremias"
cutteth trees,1,"ecclesiastes"
Cyrene,6,"4_kings;acts;luke;matthew"
Cyrinus,1,"luke"
Cyrus,3,"daniel;isaias"
Dabir,1,"josue"
Dabri,1,"leviticus"
Dadan,2,"genesis"
Dagon,1,"1_kings"
Dalaias,1,"jeremias"
Dalila,1,"judges"
